year,permanent_temporal_population,foreign_group,sector,sex,working_canton,nation,continent,europa_third_country,n_people
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Poland,Europe,EU_8,11
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Portugal,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Romania,Europe,EU_2,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Hungary,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Slovak_Republic,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Ukraine,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zurich,Brazil,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Poland,Europe,EU_8,20
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Portugal,Europe,EU_17,9
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Romania,Europe,EU_2,9
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Spain,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Hungary,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Slovak_Republic,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Serbia,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Croatia,Europe,EU_1,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Ukraine,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Argentina,America,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Bern,Brazil,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Poland,Europe,EU_8,16
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Hungary,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Slovak_Republic,Europe,EU_8,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Ukraine,Europe,third_countries,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Argentina,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Luzern,Brazil,America,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Germany,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Italy,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Austria,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schwyz,Ukraine,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Nidwalden,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Glarus,Bulgaria,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Glarus,Portugal,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Glarus,Slovak_Republic,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Poland,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Ukraine,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Zug,Brazil,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Bulgaria,Europe,EU_2,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Poland,Europe,EU_8,12
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Portugal,Europe,EU_17,9
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Romania,Europe,EU_2,12
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Freiburg,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Solothurn,Poland,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Solothurn,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Solothurn,Ukraine,Europe,third_countries,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Solothurn,Brazil,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Poland,Europe,EU_8,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Ukraine,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Basel_Country,Brazil,America,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schaffhausen,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Schaffhausen,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Poland,Europe,EU_8,14
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Romania,Europe,EU_2,12
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Hungary,Europe,EU_8,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Ukraine,Europe,third_countries,11
2019,permanent,short_resident_L_12_month,agriculture_sector,male,St_Gallen,Brazil,America,third_countries,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Germany,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Croatia,Europe,EU_1,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Grisons,Ukraine,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Poland,Europe,EU_8,14
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Portugal,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Romania,Europe,EU_2,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Hungary,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Slovak_Republic,Europe,EU_8,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Ukraine,Europe,third_countries,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,South_Africa,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Aargau,Brazil,America,third_countries,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Poland,Europe,EU_8,34
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Portugal,Europe,EU_17,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Romania,Europe,EU_2,24
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Hungary,Europe,EU_8,8
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Slovak_Republic,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Latvia,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Ukraine,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,South_Africa,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Argentina,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Thurgau,Brazil,America,third_countries,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Tessin,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Tessin,Italy,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Tessin,Lithuania,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Bulgaria,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Poland,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Romania,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Waadt,Russia,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Bulgaria,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,France,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Italy,Europe,EU_17,5
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Poland,Europe,EU_8,7
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Portugal,Europe,EU_17,12
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Romania,Europe,EU_2,9
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Wallis,Spain,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Neuenburg,Portugal,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Neuenburg,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Genf,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Genf,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Genf,Spain,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Jura,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,male,Jura,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Poland,Europe,EU_8,6
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Portugal,Europe,EU_17,4
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Slovak_Republic,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Lithuania,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Russia,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Ukraine,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zurich,Brazil,America,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Germany,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Poland,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Portugal,Europe,EU_17,13
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Hungary,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Croatia,Europe,EU_1,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Russia,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Bern,Ukraine,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Luzern,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Luzern,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Luzern,Brazil,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Zug,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Freiburg,Bulgaria,Europe,EU_2,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Freiburg,Poland,Europe,EU_8,10
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Freiburg,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Freiburg,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Solothurn,Russia,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Solothurn,Ukraine,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Solothurn,Japan,Asia,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Basel_Country,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Basel_Country,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Basel_Country,Ukraine,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Schaffhausen,Romania,Europe,EU_2,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Schaffhausen,Ukraine,Europe,third_countries,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,Poland,Europe,EU_8,5
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,Romania,Europe,EU_2,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,Ukraine,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,St_Gallen,South_Africa,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Grisons,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Poland,Europe,EU_8,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Hungary,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Slovak_Republic,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Russia,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Aargau,Ukraine,Europe,third_countries,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Bulgaria,Europe,EU_2,4
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Poland,Europe,EU_8,17
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Romania,Europe,EU_2,5
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Hungary,Europe,EU_8,4
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Slovak_Republic,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Ukraine,Europe,third_countries,3
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Argentina,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Thurgau,Brazil,America,third_countries,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Tessin,Lithuania,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Waadt,Portugal,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Wallis,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Wallis,France,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Wallis,Poland,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Wallis,Portugal,Europe,EU_17,16
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Neuenburg,Portugal,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Genf,Germany,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Genf,Poland,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,agriculture_sector,female,Genf,Spain,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Bulgaria,Europe,EU_2,17
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Denmark,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Germany,Europe,EU_17,12
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Finland,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Greece,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Great_Britain,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Italy,Europe,EU_17,8
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Netherlands,Europe,EU_17,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Austria,Europe,EU_17,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Poland,Europe,EU_8,8
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Portugal,Europe,EU_17,10
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Romania,Europe,EU_2,16
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Spain,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Hungary,Europe,EU_8,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Slovak_Republic,Europe,EU_8,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Croatia,Europe,EU_1,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,North_Macedonia,Europe,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Ghana,Africa,third_countries,1
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,USA,America,third_countries,6
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,China,Asia,third_countries,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,India,Asia,third_countries,4
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Zurich,Japan,Asia,third_countries,3
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Bulgaria,Europe,EU_2,9
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Germany,Europe,EU_17,15
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,France,Europe,EU_17,2
2019,permanent,short_resident_L_12_month,industry_craft_sector,male,Bern,Greece,Europe,EU_17,2
